"Study ID","dateFrom","dateTo","variant","sumcount","freq","per","source","Outbreak_count_total"
"71915_Leuva 2022","2020-12-14","2022-01-25",NA,2122,0.00103201884674569,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Early-clades",38468,0.071930634843762,"7%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Beta",3456,0.00646231345586049,"1%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Alpha",151146,0.282625240046149,"28%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Gamma",1390,0.00259913648832352,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Delta",320673,0.599620787856236,"60%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Kappa",137,0.000256173884100951,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Epsilon",16,2.9918117851206e-05,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Eta",1179,0.00220459130916074,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Theta",29,5.42265886053108e-05,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Iota",44,8.22748240908165e-05,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Lambda",171,0.000319749884534764,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Mu",207,0.000387065649699977,"0%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01","Omicron_BA",17841,0.0333605712864604,"3%","LAPIS",NA
"72854_Konermann 2023(WT to Delta)","2020-03-11","2022-01-01",NA,36,6.73157651652135e-05,"0%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Early-clades",71,0.816091954022989,"82%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Beta",3,0.0344827586206897,"3%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Alpha",2,0.0229885057471264,"2%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Gamma",2,0.0229885057471264,"2%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Delta",4,0.0459770114942529,"5%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Kappa",1,0.0114942528735632,"1%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Eta",1,0.0114942528735632,"1%","LAPIS",NA
"73383_Hosseini-Moghaddam 2023","2020-01-01","2021-12-31","Omicron_BA",3,0.0344827586206897,"3%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Early-clades",255352,0.143016524482042,"14%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Beta",2283,0.00127865348770521,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Alpha",194568,0.108972865438383,"11%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Gamma",22051,0.0123502356799771,"1%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Delta",1187875,0.665300267940354,"67%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Kappa",247,0.000138338769804287,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Epsilon",45534,0.0255025001792243,"3%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Eta",1062,0.000594800702559323,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Theta",19,1.0641443831099e-05,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Iota",37312,0.020897555380314,"2%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Lambda",1135,0.000635686249910388,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Mu",5363,0.00300368754032547,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Omicron_BA",30567,0.0171198428202739,"2%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Omicron_XBB",24,1.34418237866514e-05,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20","Omicron_JN",5,2.80037995555237e-06,"0%","LAPIS",NA
"141132_Sullivan 2023","2020-01-01","2021-12-20",NA,2075,0.00116215768155423,"0%","LAPIS",NA
